1,326
2,936
3,516
4,268
5,1000
6,569
7,607
8,927
9,318
10,820
11,195
12,53
13,267
14,502
15,202
16,867
17,136
18,639
19,296
20,516
21,698
22,112
23,111
24,785
25,722
26,980
27,54
28,157
29,813
30,861
31,990
32,369
33,389
34,927
35,78
36,509
37,850
38,312
39,95
40,298
41,271
42,123
43,938
44,803
45,955
46,875
47,823
48,776
49,719
50,382
51,469
52,827
53,742
54,927
55,951
56,252
57,244
58,348
59,267
60,520
61,938
62,136
63,629
64,171
65,743
66,657
67,335
68,944
69,366
70,528
71,590
72,702
73,914
74,871
75,890
76,847
77,159
78,730
79,791
80,255
81,900
82,25
83,693
84,37
85,834
86,909
87,763
88,298
89,410
90,986
91,673
92,292
93,384
94,675
95,729
96,948
97,578
98,326
99,923
100,285
101,862
102,889
103,989
104,950
105,770
106,628
107,847
108,376
109,741
110,414
111,628
112,338
113,611
114,14
115,776
116,295
117,116
118,18
119,405
120,165
121,541
122,904
123,770
124,426
125,211
126,168
127,2
128,162
129,327
130,660
131,198
132,979
133,48
134,144
135,891
136,153
137,844
138,428
139,474
140,602
141,603
142,478
143,402
144,165
145,836
146,920
147,945
148,398
149,157
150,508
151,441
152,585
153,185
154,51
155,562
156,751
157,858
158,371
159,115
160,525
161,324
162,980
163,987
164,635
165,100
166,73
167,858
168,857
169,742
170,958
171,352
172,652
173,718
174,381
175,197
176,679
177,904
178,565
179,522
180,819
181,233
182,308
183,174
184,156
185,764
186,357
187,258
188,292
189,553
190,701
191,80
192,944
193,6
194,137
195,943
196,125
197,541
198,699
199,856
200,180
201,997
202,525
203,460
204,256
205,399
206,82
207,868
208,392
209,165
210,996
211,508
212,779
213,597
214,962
215,421
216,153
217,128
218,575
219,11
220,699
221,529
222,937
223,486
224,78
225,382
226,574
227,341
228,956
229,331
230,484
231,463
232,128
233,900
234,78
235,305
236,504
237,396
238,963
239,943
240,988
241,950
242,853
243,164
244,729
245,357
246,534
247,534
248,293
249,342
250,809
